Environment,Algorithm name,Success rate,Average path length (m),Number of path corners,Mini collision to obstacle (m),Inference time (s),Max corner degree (°),Planning cost (m)
Env. (forest_a),IDDQN,0.0,,,,0.46526,,inf
Env. (forest_a),DQN,1.0,9.6217,0,0.4403,0.17788,1,9.711
Env. (forest_a),Hybrid A*,1.0,9.2829,5,0.458,2.16717,4,10.366
Env. (forest_a),RRT*,1.0,22.4234,0,0.4824,4.92957,1,24.888
Env. (forest_b),IDDQN,0.0,,,,0.30913,,inf
Env. (forest_b),DQN,0.0,,,,0.28954,,inf
Env. (forest_b),Hybrid A*,1.0,7.1779,6,0.4437,1.88669,4,8.121
Env. (forest_b),RRT*,1.0,9.2335,0,0.4453,0.93564,1,9.701
Env. (forest_c),IDDQN,0.0,,,,0.25373,,inf
Env. (forest_c),DQN,0.0,,,,0.25435,,inf
Env. (forest_c),Hybrid A*,1.0,7.4827,3,0.4347,1.01894,4,7.992
Env. (forest_c),RRT*,0.0,,,,5.0043,,inf
Env. (forest_d),IDDQN,1.0,5.304,0,0.4355,0.12116,1,5.365
Env. (forest_d),DQN,1.0,5.6677,0,0.4707,0.13901,1,5.737
Env. (forest_d),Hybrid A*,1.0,5.679,6,0.4387,3.19913,4,7.279
Env. (forest_d),RRT*,1.0,9.2046,0,0.5002,0.17495,1,9.292
