Environment,Algorithm name,Success rate,Average path length (m),Number of path corners,Mini collision to obstacle (m),Inference time (s),Max corner degree (°),Planning cost (m)
Env. (forest_a),IDDQN,0.0,,,,0.68672,,inf
Env. (forest_a),DQN,0.0,,,,0.36253,,inf
Env. (forest_a),Hybrid A*,1.0,9.2829,5,0.458,2.01697,4,10.291
Env. (forest_a),RRT*,1.0,22.4234,0,0.4824,4.6389,1,24.743
Env. (forest_b),IDDQN,0.0,,,,0.24788,,inf
Env. (forest_b),DQN,0.0,,,,0.08771,,inf
Env. (forest_b),Hybrid A*,1.0,7.1779,6,0.4437,1.85378,4,8.105
Env. (forest_b),RRT*,1.0,9.2335,0,0.4453,0.80922,1,9.638
Env. (forest_c),IDDQN,0.0,,,,0.43127,,inf
Env. (forest_c),DQN,0.0,,,,0.48358,,inf
Env. (forest_c),Hybrid A*,1.0,7.4827,3,0.4347,0.95079,4,7.958
Env. (forest_c),RRT*,0.0,,,,5.00128,,inf
Env. (forest_d),IDDQN,1.0,5.7951,0,0.3931,0.08966,1,5.84
Env. (forest_d),DQN,0.0,,,,1.41396,,inf
Env. (forest_d),Hybrid A*,1.0,5.679,6,0.4387,3.01768,4,7.188
Env. (forest_d),RRT*,1.0,9.2046,0,0.5002,0.16253,1,9.286
