Environment,Algorithm,success_rate,avg_path_length,num_corners,min_collision_dist,inference_time_s,max_corner_deg,planning_cost
Env. (forest_a),IDDQN,0.0,,,,0.70063,,inf
Env. (forest_a),DQN,0.0,,,,0.25687,,inf
Env. (forest_a),Hybrid A*,1.0,9.2829,5,0.458,2.0219,4,10.294
Env. (forest_a),RRT*,1.0,22.4234,0,0.4824,4.62123,1,24.734
Env. (forest_b),IDDQN,1.0,5.8368,0,0.3847,0.15095,1,5.912
Env. (forest_b),DQN,0.0,,,,0.21024,,inf
Env. (forest_b),Hybrid A*,1.0,7.1779,6,0.4437,1.89065,4,8.123
Env. (forest_b),RRT*,1.0,9.2335,0,0.4453,0.87264,1,9.67
Env. (forest_c),IDDQN,0.0,,,,0.41797,,inf
Env. (forest_c),DQN,0.0,,,,0.32766,,inf
Env. (forest_c),Hybrid A*,1.0,7.4827,3,0.4347,0.96607,4,7.966
Env. (forest_c),RRT*,0.0,,,,5.00103,,inf
Env. (forest_d),IDDQN,0.0,,,,0.24225,,inf
Env. (forest_d),DQN,0.0,,,,0.20709,,inf
Env. (forest_d),Hybrid A*,1.0,5.679,6,0.4387,3.07554,4,7.217
Env. (forest_d),RRT*,1.0,9.2046,0,0.5002,0.15968,1,9.284
