Environment,Algorithm,success_rate,avg_path_length,num_corners,min_collision_dist,inference_time_s,max_corner_deg,planning_cost
Env. (forest_a),IDDQN,1.0,10.6066,0,0.4002,0.42228,1,10.818
Env. (forest_a),DQN,0.0,,,,0.34272,,inf
Env. (forest_a),Hybrid A*,0.0,,,,0.0,,inf
Env. (forest_a),RRT*,0.0,,,,2e-05,,inf
Env. (forest_b),IDDQN,0.0,,,,0.29541,,inf
Env. (forest_b),DQN,0.0,,,,0.15827,,inf
Env. (forest_b),Hybrid A*,1.0,5.6797,7,0.4324,0.72031,4,6.04
Env. (forest_b),RRT*,1.0,5.7568,0,0.4375,0.35634,2,5.935
Env. (forest_c),IDDQN,0.0,,,,0.23187,,inf
Env. (forest_c),DQN,0.0,,,,0.16912,,inf
Env. (forest_c),Hybrid A*,1.0,6.5774,5,0.4361,1.6877,4,7.421
Env. (forest_c),RRT*,0.0,,,,5.00182,,inf
Env. (forest_d),IDDQN,1.0,5.9568,0,0.4352,0.06547,0,5.99
Env. (forest_d),DQN,1.0,5.8369,0,0.4488,0.03954,0,5.857
Env. (forest_d),Hybrid A*,1.0,5.9911,2,0.4769,2.11953,4,7.051
Env. (forest_d),RRT*,1.0,6.2291,0,0.4837,0.03702,1,6.248
